periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
234.1,234,1,26,895,Q,1,1,0,26,0,21.036944000000005,0.0,21.036944000000005,79.963056
235.1,235,1,26,609,T,1,3,2,24,2,71.40203999999994,571.21632,642.6183599999999,63.269317
236.1,236,1,26,814,T,1,5,4,22,4,71.40203999999994,1142.43264,1213.83468,63.025641
237.1,237,1,26,11,T,1,6,5,21,5,71.51445199999989,1430.28904,1501.803492,63.865962
237.2,237,1,26,590,Q,15,15,0,12,14,34.88739799999985,4004.8093120000003,4039.69671,66.112602
238.1,238,1,26,1054,Q,1,1,0,26,0,35.563406,0.0,35.563406,65.436594
239.1,239,1,26,740,T,19,22,3,5,21,71.1809460000004,5979.199464,6050.380410000001,62.945836
239.2,239,1,26,250,Q,26,26,0,1,25,34.410523999999896,7118.0946,7152.505124,66.589476
240.1,240,1,26,675,Q,1,1,0,26,0,22.222694000000004,0.0,22.222694000000004,78.777306
241.1,241,1,26,45,Q,1,1,0,26,0,28.291551999999996,0.0,28.291551999999996,72.708448
242.1,242,1,26,Gap,G,0,0,0,0,26,0.0,7436.068640000001,7436.068640000001,0
243.1,243,1,26,Gap,G,0,0,0,0,26,0.0,7426.740879999999,7426.740879999999,0
244.1,244,1,26,812,T,1,5,4,22,4,71.46723599999996,1143.4757760000002,1214.9430120000002,64.028503
244.2,244,1,26,396,Q,6,6,0,21,5,34.28859200000011,1429.3447200000003,1463.6333120000004,66.711408
244.3,244,1,26,477,Q,8,8,0,19,7,33.654945,2001.0826080000004,2034.7375530000004,67.345055
